Depth_D_mm,Web_Thickness_tw_mm,Flange_B_mm,Length_L_mm,Yield_Strength_fy_MPa,Youngs_Modulus_E_GPa,Poisson_Ratio,Opening_Ratio,FEA_Shear_Capacity_kN,Ultimate_Load_kN,Eurocode_Capacity_kN,With_Tension_Field_kN,Without_Tension_Field_kN
174.9080237694725,1.5332392719095154,63.0852841867953,2345.405988417796,421.5987634850778,197.01512856639462,0.300828325705181,0.06771900286770319,65.5484445037279,74.89083253040559,53.24614442145881,64.05725207248587,48.32598308557629
290.14286128198324,2.1754217052810447,62.348939953599995,2593.3627943827446,491.6296987899959,188.0484781626528,0.29271828099030184,0.09541733763179475,156.03645810000444,166.13040303647787,141.331788032758,175.2735543105924,133.1603868361547
246.398788362281,2.771302504577535,95.31272902605184,1500.935797584998,478.0482789370477,197.93889627487766,0.31748137069120835,0.17966590612312086,131.9126526794648,151.31508057401027,132.13123566067867,161.12918770297918,125.24442148410421
219.73169683940733,2.51800479553721,62.477309992475305,2249.748199213998,296.1699714081321,204.56736866008703,0.31040061819902576,0.4001583484182282,54.41629227962804,62.292926705126035,50.72232625057257,56.553533211381065,45.982931806713445
131.2037280884873,2.6518100661506097,63.59748630643155,2143.4919662874972,294.7748409224422,202.6881495147494,0.2926022883602703,0.6723542004368162,25.66867685538087,29.222689947261983,19.011153226708288,25.655435463400398,13.968807076198344
131.19890406724053,2.385810060079291,87.96991312089818,2665.6607535765424,330.45231032347397,202.1409312390529,0.2866538939308977,0.5610346736707074,25.884765604207967,27.734378410766503,25.50785887634695,30.402417662675692,21.98147965825588
111.6167224336399,2.4460978161321343,72.486992122527,2812.174120962521,358.32241790231114,198.6000334906276,0.29614327369022153,0.6312324833616377,30.354818907781357,33.79722249344808,15.170024584756364,23.089621805017796,20.183839057992458
273.235229154987,2.728552172817575,88.83552784775907,1024.3135429547735,372.53667442254476,193.60484631890108,0.30434502646091305,0.2807804991408731,111.33484026685899,125.3729553404574,102.11033168610825,127.19563749159666,94.6984180104249
220.22300234864176,1.6494024159465346,53.26830787821926,2348.0398381175855,453.9091650500036,202.57647160812235,0.3024020584394622,0.32372299331884014,62.212208538584676,71.4571164748964,61.11805862085389,67.77212221177449,56.072738610290514
241.6145155592091,2.080964934557653,74.37855968366921,1103.671598239458,267.0041296497506,195.8285909498269,0.3125313282476824,0.3149455087924903,54.18010181478382,57.86664501054112,45.26177697852362,60.39207085170612,46.26833001991594
104.11689885916049,1.598176995275284,51.680680009164135,2097.717330154712,260.40181126781994,210.92048366690227,0.30789919722180853,0.15349854752360123,22.81913549390159,25.708097147893536,22.032023881170296,22.82216594660812,18.783767492728487
293.98197043239884,2.9778024143939645,53.13266017276773,1575.2654580873564,367.5731688831727,202.85253604177257,0.3096956902575291,0.04897332651485762,156.45169301794382,169.5748793319967,154.54248391178575,186.45428897365522,146.60324444918442
266.48852816008434,2.899306811435904,95.32187266722055,1613.5531990442823,459.14910764139415,197.09675848723023,0.30326855400610436,0.47273287426178145,98.34513132096593,104.98958866898646,91.86932890398427,121.18363526088763,89.4028075789807
142.46782213565524,1.2709682604633106,56.96226855587976,1705.9170069047132,308.0306028869448,196.94307376305687,0.2861070126978901,0.791373346736469,14.158824632546718,15.463386085658644,6.6399691858245555,11.834751959541103,8.375987278106992
136.36499344142013,2.4700353105282393,76.62103411376086,2242.5848980992205,442.4513443768755,199.53527896693205,0.29804301468853095,0.13346376396021029,68.43824078390308,77.29302615295187,66.03802430114031,77.78780135404769,59.60596312646005
136.68090197068676,2.8654469713481987,70.55478013003533,1668.0999313375385,327.94844138208987,198.80249038989126,0.31060089739908664,0.037347855919419005,68.38208560255538,74.9799297896053,59.65645768953069,77.14383791150533,54.16039078158139
160.84844859190753,1.5250356212292004,67.36716631294213,2465.398101180561,515.8258326440549,205.58416887764977,0.29948477071475355,0.6236253454591464,22.749154687988053,25.10943203787606,24.070477481723277,29.6758566754617,24.851209863512377
204.9512863264476,2.222301414994733,94.99166728436361,1809.0547711477393,518.706983279985,200.93208084872023,0.3050309036862375,0.20206880534777938,109.50287696469148,125.87530265846593,95.57098104458564,117.84554976962218,86.87821479901824
186.38900372842315,2.8478789356584753,51.091169838774476,1136.7064006199173,339.18616128439794,196.34184130545736,0.2968125168475387,0.6637150442823427,43.48773554075886,47.39775828489789,32.476478343508184,32.512757549741615,28.74216686975965
158.2458280396084,1.261102761454438,83.18948430877946,2567.5196849682143,318.99812618897215,209.45220342577892,0.28970188151458154,0.5631493336276123,11.61948605604977,12.915524407674909,15.621045477124781,14.603906587101143,13.649369714134469
222.37057894447588,2.455356481044312,98.16972171067752,1571.516649185412,373.39119161986935,200.2465416576011,0.2987665593595389,0.7565388296406437,31.660371095349642,34.39976634647386,29.718251028951297,38.6787249463921,27.42775375080354
127.89877213040836,1.7352282132705914,78.0084091730921,1865.5337591985253,322.1594755540446,203.84419837984447,0.30309047443032655,0.3271417886053376,23.896838661445752,26.030314116402913,24.869836992762288,28.47508337314886,19.75806923249126
158.42892970704364,2.863913151677755,96.84112310165459,2370.8877664438032,451.7151529875111,196.9588674627762,0.29344312280538554,0.5295758715605073,57.01233149489772,63.82895819332161,47.74482569452571,60.03415007662098,46.23988741295859
173.27236865873834,2.947904841297662,52.612893964301186,1664.912314297424,497.81940536448565,201.81557813872263,0.2976428875514333,0.3718838246506166,88.87699610483861,101.65650362219691,79.41540167798559,92.45645831733955,76.49800023820661
191.2139968434072,2.899679680404181,70.93966595370807,1113.1713122934311,451.9276392733651,201.55554995571597,0.29060536758014016,0.5044709578468348,71.44092974961393,78.88763900521425,60.76468395824096,82.07845983887978,56.88388960856611
257.0351922786027,2.0535855899834345,63.007889548102554,1747.8420940256271,497.30513417480483,190.55175353951924,0.31119244917564093,0.3596791248061899,91.37198317173498,102.96160486802876,87.16538814263927,106.9575589171483,82.43412528723931
139.93475643167196,2.7516767717807644,86.54104824903649,2888.897165388607,369.09764866224225,210.0763755523032,0.29705544242411963,0.1509057971392599,81.88985694348318,86.7148610246515,58.22289118033325,72.1097050952792,53.06601892959866
202.84688768272233,2.7201889173631266,99.06485452486234,2283.4687945971164,296.89509121265826,206.45322230461272,0.3145275554512618,0.40631793280270473,46.66714263717874,49.98591399421993,50.808259055669936,58.1254907501081,50.08795880928133
218.4829137724085,1.77438085183786,62.82650312221239,2342.958297334414,471.38528421927765,198.01402341927007,0.31528747850540906,0.4228673611499539,47.883141599920705,52.68166272631179,52.83545943067708,68.2365249597114,49.518892860973466
